learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.2828968253968254,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.0,0.0,20.0,0.0,0.0,0.17738698285718416,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.0,0.0,30.0,0.0,0.0,0.23732359942792153,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.0,0.0,40.0,0.0,0.0,0.2730109497781488,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.0,0.0,50.0,0.0,0.0,0.27923682202901806,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.0,0.0,60.0,0.0,0.0,0.3176182111320192,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.0,0.0,70.0,0.0,0.0,0.32036683588086073,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.0,0.0,80.0,1.0,0.0,0.3553257692097128,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.0,0.0,90.0,1.0,0.0,0.3686553734966567,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.0,0.0,100.0,1.0,0.0,0.35529393902725487,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.0,0.0,110.0,1.0,0.0,0.3440521050396211,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.0,0.0,120.0,1.0,0.0,0.33352210424194634,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.0,0.0,130.0,1.0,0.0,0.3305433097456612,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.0,0.0,140.0,1.0,0.0,0.32795109633024744,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.0,0.0,150.0,1.0,0.0,0.3350298448462928,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.0,0.0,160.0,1.0,0.0,0.32997103342543327,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.0,0.0,170.0,1.0,0.0,0.33241728872429915,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.0,0.0,180.0,1.0,0.0,0.3316807610411013,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.0,0.0,190.0,1.0,0.0,0.3276808603780598,0.0,?,0.0,0.2,190.0,-1.0
200.0,0.0,0.0,200.0,1.0,0.0,0.32695541949956103,0.0,?,0.0,0.2,200.0,-1.0
210.0,0.0,0.0,210.0,1.0,0.0,0.3322125986559484,0.0,?,0.0,0.2,210.0,-1.0
220.0,0.0,0.0,220.0,1.0,0.0,0.3260415436611563,0.0,?,0.0,0.2,220.0,-1.0
230.0,0.0,0.0,230.0,1.0,0.0,0.32264915535858263,0.0,?,0.0,0.2,230.0,-1.0
240.0,0.0,0.0,240.0,1.0,0.0,0.32226817107992445,0.0,?,0.0,0.2,240.0,-1.0
250.0,0.0,0.0,250.0,1.0,0.0,0.3191483822467931,1.0,0.0,0.0,0.8,250.0,-1.0
260.0,0.0,0.0,260.0,1.0,0.0,0.3308519647300692,1.0,0.0,0.0,0.8,260.0,-1.0
270.0,0.0,0.0,270.0,1.0,1.0,0.34531520215714806,1.0,0.0,0.0,0.8,270.0,-1.0
280.0,0.0,0.0,280.0,2.0,1.0,0.3525184310849581,1.0,28.0,1.0,0.8,280.0,-1.0
290.0,0.0,0.0,290.0,2.0,1.0,0.3572541989736044,1.0,28.0,1.0,0.8,290.0,-1.0
300.0,0.0,0.0,300.0,2.0,1.0,0.35539543384957945,1.0,28.0,1.0,0.8,300.0,-1.0
310.0,0.0,0.0,310.0,2.0,1.0,0.3525048386308908,1.0,28.0,1.0,0.8,310.0,-1.0
320.0,0.0,0.0,320.0,2.0,1.0,0.35549362659365136,1.0,28.0,1.0,0.8,320.0,-1.0
330.0,0.0,0.0,330.0,2.0,1.0,0.35842722617071976,1.0,28.0,1.0,0.8,330.0,-1.0
340.0,0.0,0.0,340.0,2.0,1.0,0.35675436066645005,1.0,28.0,1.0,0.8,340.0,-1.0
350.0,0.0,0.0,350.0,2.0,1.0,0.3580007847551746,1.0,28.0,1.0,0.8,350.0,-1.0
360.0,0.0,0.0,360.0,2.0,1.0,0.356131660935724,1.0,28.0,1.0,0.8,360.0,-1.0
370.0,0.0,0.0,370.0,2.0,1.0,0.35867607546326175,1.0,28.0,1.0,0.8,370.0,-1.0
380.0,0.0,0.0,380.0,2.0,1.0,0.36246828285152627,1.0,28.0,1.0,0.8,380.0,-1.0
390.0,0.0,0.0,390.0,2.0,1.0,0.36248861078484174,1.0,28.0,1.0,0.8,390.0,-1.0
400.0,0.0,0.0,400.0,2.0,1.0,0.3624047577053021,1.0,28.0,1.0,0.8,400.0,-1.0
410.0,0.0,0.0,410.0,2.0,1.0,0.3646426571425564,1.0,28.0,1.0,0.8,410.0,-1.0
420.0,0.0,0.0,420.0,2.0,1.0,0.3621971776477503,1.0,28.0,1.0,0.8,420.0,-1.0
430.0,0.0,0.0,430.0,2.0,1.0,0.3619490212892143,1.0,28.0,1.0,0.8,430.0,-1.0
440.0,0.0,0.0,440.0,2.0,1.0,0.36403139511552207,1.0,28.0,1.0,0.8,440.0,-1.0
450.0,0.0,0.0,450.0,2.0,1.0,0.36604331663234263,1.0,28.0,1.0,0.8,450.0,-1.0
460.0,0.0,0.0,460.0,2.0,1.0,0.3659115182143909,1.0,28.0,1.0,0.8,460.0,-1.0
470.0,0.0,0.0,470.0,2.0,1.0,0.3646380837781848,1.0,28.0,1.0,0.8,470.0,-1.0
480.0,0.0,0.0,480.0,2.0,1.0,0.3654352680243785,1.0,28.0,1.0,0.8,480.0,-1.0
490.0,0.0,0.0,490.0,2.0,1.0,0.36413238174001356,1.0,28.0,1.0,0.8,490.0,-1.0
500.0,0.0,0.0,500.0,2.0,1.0,0.36380559696085507,1.0,28.0,1.0,0.2,500.0,-1.0
510.0,0.0,0.0,510.0,2.0,1.0,0.37026737470126625,1.0,28.0,1.0,0.2,510.0,-1.0
520.0,0.0,0.0,520.0,2.0,1.0,0.37362462196259705,1.0,28.0,1.0,0.2,520.0,-1.0
530.0,0.0,0.0,530.0,2.0,1.0,0.37603585905249365,1.0,28.0,1.0,0.2,530.0,-1.0
540.0,0.0,0.0,540.0,2.0,1.0,0.38051587427578354,1.0,28.0,1.0,0.2,540.0,-1.0
550.0,0.0,0.0,550.0,2.0,1.0,0.38334818383745384,1.0,28.0,1.0,0.2,550.0,-1.0
560.0,0.0,0.0,560.0,2.0,1.0,0.3877830425156884,1.0,28.0,1.0,0.2,560.0,-1.0
570.0,0.0,0.0,570.0,2.0,1.0,0.3912962023728928,1.0,28.0,1.0,0.2,570.0,-1.0
580.0,0.0,0.0,580.0,2.0,1.0,0.39496681286022556,1.0,28.0,1.0,0.2,580.0,-1.0
590.0,0.0,0.0,590.0,2.0,1.0,0.3982869627480463,1.0,28.0,1.0,0.2,590.0,-1.0
600.0,0.0,0.0,600.0,2.0,1.0,0.40127920337841455,1.0,28.0,1.0,0.2,600.0,-1.0
610.0,0.0,0.0,610.0,2.0,1.0,0.40372614195722395,1.0,28.0,1.0,0.2,610.0,-1.0
620.0,0.0,0.0,620.0,2.0,1.0,0.40619016202080255,1.0,28.0,1.0,0.2,620.0,-1.0
630.0,0.0,0.0,630.0,2.0,1.0,0.40823741289695514,1.0,28.0,1.0,0.2,630.0,-1.0
640.0,0.0,0.0,640.0,2.0,1.0,0.41013128876287397,1.0,28.0,1.0,0.2,640.0,-1.0
